target	L-CN	L-RA	M-CN	M-RA	P-CN	P-RA	SA-CN	SA-RA
NR	3.2422626619699004	2.474878627915723	3.1937913546770407	2.5164329066133826	3.1411965722200366	1.515654187490607	3.4464682959095807	2.8111486692621517
amoA_A	4.0090697450928925	0.6373775394743335	2.4785659091593435	3.3440955968894874	3.5076385482892305	1.1138198336109941	3.3869912000754847	3.5095089667485686
amoB_A	0.01337363078650627	0.4217044895611098	0.13451537226863525	0.9052544660752608	0.0416356011737461	0.6747642032030181	0.08663207595494843	0.5012417560763366
ansB	28.49425909701433	14.467981818250149	23.136788203442222	19.131817999112776	24.219719626404586	13.13465972086458	22.831022968676695	16.77684528818315
asnB	213.77321288269488	115.24655129954775	178.53077070424837	172.24767104964565	193.20424671023054	100.01073556701147	197.2300509817612	170.4285950649087
gdh_K00260	0.9990188479009134	1.5430262271652897	1.6317531316923628	2.1142074248149414	1.1574496472801783	1.0747586866571184	1.795334766323537	1.9555111710391475
gdh_K00261	243.6870977247766	204.29770598260868	254.4485281895221	241.9267568937516	237.422024303015	190.26015932404528	266.3132535858662	263.0400771780074
gdh_K00262	87.15679638486367	52.54995865739349	69.75601689752098	59.51324876249958	72.02536331402196	38.22714782260005	71.29073535519838	61.16350987743284
gdh_K15371	620.3861406564048	414.51399105046715	539.0091722203244	457.36793060745276	559.5625388782312	328.8102205452343	558.1403625487781	454.10421806969254
glnA	637.1347958900054	459.2462239067363	609.0320276382287	543.2095416863084	603.8013930411385	413.162488681912	642.6685221103108	581.6216397224067
glsA	322.00237443934117	204.3421204875279	294.3286684031925	240.32144084948285	288.41105931651936	167.72825148720554	311.5875388586482	249.64742348881552
gs_K00264	36.11959798579171	26.70450352863215	55.27475629028825	41.201462833616496	38.43433698651768	23.358025654079	38.79896256304087	37.68503648173642
gs_K00265	222.06407832522763	155.9451407290214	207.63876363850423	165.36213958719648	204.33590642153783	134.8698605435161	202.60386795813108	162.27939163480627
gs_K00266	589.8646710894895	347.82891513926614	524.7513475480749	437.23600998607003	517.4763408797578	279.8519725191295	548.0712128741883	441.54921728859415
gs_K00284	19.548275667274588	17.87614219595078	19.27615566209321	16.53203227439976	17.043148721918243	13.485679603918154	14.838109450546737	13.473473251437033
hao	1.099457326731742	0.44396979464630904	1.1383433013855329	0.6601240389735066	0.7752388721284565	0.335886063632151	1.1827819483878814	0.8763818418967376
hcp	611.421315754283	440.6699666658518	584.3290849489595	509.20475246378606	562.550475875415	373.31534617655404	584.5246549913641	534.392233007647
hzsB	0.17999960737396803	0	0.07941685635942686	0.00956492991542275	0.09607197189949569	0.003188685190208	0.09059582435771368	0.021910489311363
nao	2.5176800141764266	1.2430039896276188	1.9332432970500206	2.405834176938803	2.114882868947265	1.5452000924421052	2.8111562573931232	2.2304951083786406
napA	105.75005847978156	55.19824920589459	95.07111351309172	72.68079517023497	97.61342047019866	46.33191399359416	101.0801284127089	72.3094211635345
napB	5.161537139761397	2.2062387151049623	4.119037099109477	3.314529619057105	4.628458380113767	1.5669267657240142	3.7160811884853597	2.549075995522302
napC	1.1509297651680046	0.5697345682946521	0.9965614847649444	0.9108186447126612	0.9434909654911526	0.5531790729896652	1.2341292317981094	0.7632315251387437
narB	247.57536979983115	165.87956777020398	222.2785644405304	202.09874591542314	232.30709907290012	143.4110714934667	240.38876604696708	213.57568446510535
narC	63.70439194658818	32.95977855785361	55.217989681084696	52.43350597579762	57.74926060025991	33.27046622895101	74.63139043676793	66.24148804530364
narG	34.645453263810715	18.301675297873647	28.69106501615041	27.670178444506025	32.8139374973267	18.32495410193216	36.89317345174635	27.985749468695307
narH	42.768520478941326	24.821750504262678	40.779173918175566	28.189856510025976	40.73202970773468	18.997563857124888	33.48971594519581	22.493366625300922
