OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV212	Ascomycota	Sordariomycetes	Pisorisporiales	Pisorisporiales_fam._incertae_sedis	Brocchiosphaera	na	na	na	na	na	na	na	na	na	na	na
ASV213	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	na	na	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV214	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	na	na	Colletotrichum	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV215	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Neptunomyces	na	na	Neptunomyces	13	Saprotroph	Litter Saprotroph-Wood Saprotroph	NULL	NULL	Probable	NULL	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
ASV216	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	na	na	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV217	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucocoprinus	na	na	Leucocoprinus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV218	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	na	na	Cadophora	13	Symbiotroph	Endophyte	NULL	Microfungus	Highly Probable	Dark Septate Endophyte, known from plant roots.	Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as DSE)
ASV219	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	na	na	na	na	na	na	na	na	na	na	na
ASV220	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	na	na	Lacrymaria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV221	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	na	na	Lepiota	13	Saprotroph	Soil Saprotroph	NULL	Agaricoid	Probable	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV222	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	na	na	Calcarisporiella	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	De Hoog GS. 1974. In: The genera Blastobotrys, Sporothrix, Calcarisporium and Calcarisporiella gen. Ed. Von Arx JA. Studies in Mycology 7:71-84 ((https://www.studiesinmycology.org/sim/Sim07/index.html))
ASV223	Basidiomycota	Agaricomycotina_cls_Incertae_sedis	Agaricomycotina_ord_Incertae_sedis	Agaricomycotina_fam_Incertae_sedis	Agaricomycotina_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV224	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Arcuadendron	na	na	na	na	na	na	na	na	na	na	na
ASV225	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Eremomyces	na	na	Eremomyces	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV226	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiales_fam_Incertae_sedis	Atractospora	na	na	Atractospora	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Highly Probable	From submerged wood (Lombard 2015)	Lombard L. 2015. Studies in Mycology 80:189-245 ((https://www.studiesinmycology.org/sim/Sim80/189-245.pdf))
ASV227	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	na	na	Beauveria	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV228	Basidiomycota	Basidiomycota_cls_Incertae_sedis	Basidiomycota_ord_Incertae_sedis	Basidiomycota_fam_Incertae_sedis	Basidiomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV229	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Crinipellis	na	na	Crinipellis	13	Saprotroph	Leaf Saprotroph	NULL	NULL	Possible	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV230	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Anthostomelloides	na	na	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Xylarioid	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV231	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordycipitaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV232	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Pseudophialocephala	na	na	Chaetosphaeriaceae	9	Saprotroph	Plant Saprotroph-Wood Saprotroph	NULL	Microfungus	Probable	Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV233	Aphelidiomycota	Aphelidiomycota_cls_Incertae_sedis	Aphelidiomycota_ord_Incertae_sedis	Aphelidiomycota_fam_Incertae_sedis	Aphelidiomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV234	Ascomycota	Sordariomycetes	Lulworthiales	Lulworthiaceae	Lulworthiaceae_gen_Incertae_sedis	na	na	Lulworthiaceae	9	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	Marine, usually on immersed wood or marine algae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV235	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Massariosphaeria	na	na	Massariosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV236	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	na	na	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
ASV237	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striaticonidium	na	na	na	na	na	na	na	na	na	na	na
ASV238	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Pleurotheciella	na	na	Pleurotheciella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV239	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	na	na	Torula	13	Pathotroph-Saprotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Soft Rot	NULL	Probable	Endophyte Host - Caryophyllacae (Costa et al. 2012)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))
ASV240	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	na	na	Lachnum	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV241	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	na	na	Iodophanus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV242	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	na	na	Agaricaceae	9	Saprotroph	Undefined Saprotroph	NULL	Agaricoid-Gasteroid-Secotioid	Probable	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV243	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myxospora	na	na	na	na	na	na	na	na	na	na	na
ASV244	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	na	na	na	na	na	na	na	na	na	na	na
ASV245	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	na	na	Ophiosphaerella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV246	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniella	na	na	Phaeomoniella	13	Pathotroph	Plant Pathogen	NULL	Microfungus; Facultative Yeast (Tedersoo et al. 2014)	Highly Probable	Pathotroph isolated from necrosis in Prunus wood (Damm et al. 2010)	Damm U, et al. 2010. Persoonia 24:60-80 ((http://doi.org/10.3767/003158510X500705)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV247	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Dennisiomyces	na	na	Tricholomataceae	9	Pathotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite	NULL	Agaricoid	Probable	Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV248	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	na	na	Neosetophoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV249	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricaceae_gen_Incertae_sedis	na	na	Agaricaceae	9	Saprotroph	Undefined Saprotroph	NULL	Agaricoid-Gasteroid-Secotioid	Probable	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV250	Basidiomycota	Agaricomycetes	Trechisporales	Trechisporales_fam_Incertae_sedis	Trechisporales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV251	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	na	na	Rhizophagus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV252	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	na	na	Clavaria	13	Saprotroph	Undefined Saprotroph	NULL	Clavarioid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV253	Ascomycota	Leotiomycetes	Helotiales	Calloriaceae	Populomyces	na	na	na	na	na	na	na	na	na	na	na
ASV254	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	na	na	Botryosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic, or saprobic, especially associated with woody tissue (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV255	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV256	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	na	na	Scleroderma	13	Symbiotroph	Ectomycorrhizal	NULL	Gasteroid	Highly Probable	Common name - puffball	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
ASV257	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Pseudopenicillium	na	na	na	na	na	na	na	na	na	na	na
ASV258	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	na	na	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV259	Blastocladiomycota	Blastocladiomycetes	Catenomycetales	Catenomycetales_fam_Incertae_sedis	Catenomycetales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV260	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum	na	na	Acrospermum	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV261	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Murispora	na	na	Murispora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV262	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossales_fam_Incertae_sedis	Geoglossales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV263	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	na	na	Limonomyces	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV264	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	na	na	Stemphylium	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV265	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia	na	na	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV266	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	na	na	Apodus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV267	Chytridiomycota	GS13	GS13_ord_Incertae_sedis	GS13_fam_Incertae_sedis	GS13_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV268	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	na	na	Funneliformis	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV269	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	na	na	Arthrobotrys	13	Saprotroph	Dung Saprotroph-Nematophagous	Nematode-trapping fungus (Yang et al. 2020)	Microfungus	Probable	NULL	Seifert KA, Kendrick WB, Murase G. 1983. A Key to Hyphomycetes on Dung. University of Waterloo Press, Waterloo; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))
ASV270	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_fam_Incertae_sedis	Panaeolina	na	na	Panaeolina	13	Saprotroph	Soil Saprotroph	NULL	Agaricoid	Probable	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
ASV271	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Neopseudolachnella	na	na	Chaetosphaeriaceae	9	Saprotroph	Plant Saprotroph-Wood Saprotroph	NULL	Microfungus	Probable	Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV272	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	na	na	Scedosporium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV273	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Albifimbria	na	na	Albifimbria	13	Pathotroph-Saprotroph	Fungal Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	NULL	Microfungus	Probable	Saprotroph isolated from soil, one specimen revised from one species collected on from basidioma of a resupinate polypore on a dead branch (Lombard L, et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
ASV274	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Panaeolus	na	na	Panaeolus	13	Saprotroph	Dung Saprotroph	NULL	Agaricoid	Probable	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
ASV275	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	na	na	Calvatia	13	Saprotroph	Soil Saprotroph	NULL	Gasteroid	Probable	Common name - puffball	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV276	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Spirosphaera	na	na	Spirosphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV277	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV278	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	na	na	Cutaneotrichosporon	13	Pathotroph	Animal Pathogen	NULL	Yeast	Possible	Pathogenic to humans	Nath R, et al. 2018. Mycopathologia 183:585-590  ((https://doi.org/10.1007/s11046-017-0231-8))
ASV279	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arxotrichum	na	na	na	na	na	na	na	na	na	na	na
ASV280	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanitaceae_gen_Incertae_sedis	na	na	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	NULL	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV281	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Cucurbitariaceae_gen_Incertae_sedis	na	na	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV282	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	na	na	Ascobolus	13	Saprotroph	Dung Saprotroph-Wood Saprotroph	Soft Rot	NULL	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV283	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV284	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	na	na	Itersonilia	13	Pathotroph	Litter Saprotroph-Plant Pathogen	NULL	Dimorphic Yeast	Probable	A dimorphic basidiomycete that has yeast and hyphal phases (McGovern et al. 2006)	McGovern RJ, et al. 2006. Plant Health Progress ((http://doi.org/10.1094/PHP-2006-1018-02-RS)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV285	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	na	na	Hymenoscyphus	13	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph	NULL	Microfungus	Possible	Dark Septate Microfungus; Syn. Pezoloma among other (see e.g., Pezoloma ericae)	Baral HO, Krieglsteiner L. 2006. Acta Mycologica 41:11-20 ((https://doi.org/10.5586/am.2006.003)) (as a bryophyte parasite); Huhtinen S, et al. 2010. Nova Hedwigia 90:413-431 ((https://doi.org/10.1127/0029-5035/2010/0090-0413)); Bent E, et al. 2011. Applied and Environmental Microbiology 77:3351-3359 ((https://doi.org/10.1128/AEM.02575-10)) (as ectomycorrhizae); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph)
ASV286	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	na	na	Phialophora	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Ericoid Mycorrhizal-Plant Pathogen-Wood Saprotroph	NULL	Facultative Yeast-Microfungus	Possible	Consult the current literature for updated names on this paraphyletic grouping that included the Black Yeasts, Dark Septate Endophytes, etc.	Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); de Hoog GS, et al. 2000. Mycoses 43:409-416 ((https://doi.org/10.1111/j.1439-0507.2000.00601.x)); Rinaldi AC, et al. 2008. Fungal Diversity 3:31-45 ((https://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as DSE); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV287	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Coprotus	na	na	Coprotus	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph	NULL	Microfungus	Highly Probable	NULL	Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV288	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	na	na	Didymocyrtis	13	Symbiotroph	Lichen Parasite	NULL	Microfungus	Possible	NULL	Ertz D, et al. 2015. Fungal Diversity 74:53-89 ((https://doi.org/10.1007/s13225-015-0345-6))
ASV289	Basidiomycota	Agaricomycetes	Thelephorales	Thelephorales_fam_Incertae_sedis	Thelephorales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV290	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Eonema	na	na	Eonema	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV291	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Apiospora	na	na	Apiospora	13	Pathotroph-Saprotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
