OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV22	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	na	na	na	na	na	na	na	na	na	na	na
ASV23	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	na	na	Metarhizium	13	Pathotroph	Insect Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV24	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	na	na	Podospora	13	Saprotroph-Symbiotroph	Dung Saprotroph-Undephined Saprotroph	NULL	Microfungus	Possible	Endophyte detection method-culture (David et al. 2016)	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739)) (as litter saprotroph)
ASV25	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	na	na	na	na	na	na	na	na	na	na	na
ASV26	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	na	na	Plenodomus	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV27	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	na	na	Sarocladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV28	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	na	na	Nectriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Pathogen-Wood Saprotroph	NULL	Microfungus	Possible	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))
ASV29	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sesquicillium	na	na	Sesquicillium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV30	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	na	na	Neocosmospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV31	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	na	na	Pyrenochaetopsis	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
