target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd	NA
k117_68430_3_EEBR-OA	1.1001590313608578	0.8845872541569896	0.3442898457105207	0.06797451813600079	0.003559117070274872	0.4825281529065707	1.260344357832157	0.762777345031271	0.3982823784358001	0.021266372219486313	0.38724138276788966	0.22689733661962982	0.4430323146534354	0.04609394545946991	1.1288007251858518	0.9399269540468006	0.8789026738886058	0.646861201616003	1.315322046622025	1.6350037825835209	1.5931662488113236	0.5623474535634048	0.7221065194981332	0.995222576925918	1.0935483966540136	0
k117_84794_2_EEBR-OA	0.16832800307417797	0.337003120923124	0.096200433248656	0.04848273253620383	0	0.096163064955518407	0.11994269000097775	0.024039414322156342	0.0722867801994779	0.02401633414441989	0.024072423825969736	0	0.024015406849489676	0	0.09620878009066142	0.02403326564348684	0.12006700182085028	0	0.02408767774102777	0.024031583759268598	0.024258594954779167	0.24116384684681155	0.19187820294980823	0.050894271012607135	0.0242148140570784	0
k117_109256_11_EEBR-OA	1.2047756351212426	1.700376502845579	1.2103661513989459	0.6510268870912039	0.30478228981560074	1.475747580484687	0.6929607241768551	1.0253698824882402	1.6531264701390325	0.5311628143069363	1.4505274527975383	0.9487393194318484	1.3983134167150328	0.3415863500841112	0.6133777672317071	0.8840875229320021	1.241034955785629	0.5652394713398314	1.0274284957087407	0.78640318838696055	0.9744970206736968	1.4695042185295988	1.3315749998481827	1.309388793522795	1.60665762374047	0
k117_184904_1_EEBR-OA	0.02682149499533605	0.026849149743875266	0.05365024161944276	0	0	0	0.026756446230987344	0.08043957869336929	0.08062756253018688	0	0.05370002238100941	0.026794066493844512	0.026786415332123097	0	0.026827448294511357	0.05361266951239371	0.10713670931706641	0.026861417184603678	0.053734050345369634	0	0	0.05379808891198104	0	0.08515003034801577	0.05401766212732873	0
k117_278715_2_EEBR-OA	0.8406517883469711	1.147525304121792	1.5668810292144106	1.2519171346677291	1.1496435687271436	1.776382097157761	0.9339099314596677	1.489785073882675	1.6464221901141358	0.839584722418624	1.377074546537666	0.6680164523122877	1.2784091920152996	0.47721076305510207	0.8790583057598789	0.6301324718032029	1.2019858209681833	0.688829766706549	0.8803551262063298	0.9546793548202592	0.9829715599484489	1.8011305383682417	1.2767785901762925	1.2737511389045648	1.6930467253058648	0
k117_416407_3_EEBR-OA	0.3043020523107217	0.40615441067098584	0.11412869580863277	0	0	0	0.13913352040113416	0.05070131020672973	0.1016395939774477	0	0.22846918613011272	0.06333142989454156	0.06331334533047277	0	0.21559512993043672	0.17740919729555735	0.2658938331232648	0.1523774938472063	0.5461333480556658	0.4941767496678687	0.5883811939940982	0.13987503117115066	0.15175821506030285	0.4696153188890567	0.33196308725522017	0
k117_497282_2_EEBR-OA	0.26108016803341894	0.3232478914976904	0.03435729758880571	0	0	0	0.006853868000055871	0	0.013768910514186265	0	0.006877835378848496	0	0.13036935146865822	0	0.21303372734360743	0.1922661251478947	0.1372194306524003	0.00688075711132705	0.39228503749673793	0.35017450620648527	0.19406875963823333	0	0	0.29082440578632646	0.22831110396673918	0
k117_507421_3_EEBR-OA	0.24106232539018083	0.27003836203305	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040154345066895705	0	0	0.09773847840598097	0.028679667860855525	0.01158023462861886	0	0	0.09110702835590166	0.011559335105436601	0
k117_529663_1_EEBR-OA	0.23602915595895727	0.7302968730334073	0.10014711768962649	0	0	0.1358611507448478	0.09989073259568608	0.05005129340920756	0.20067304451957624	0	0.021480008952403765	0.007145084398358537	0.13571783768275705	0	0.007153986211869696	0.08578027121982994	0.0785669201658487	0.057304356660487846	0.2650879817038235	0.2859142272897597	0.1948151779445342	0.21519235564792416	0.22828586197105388	0.2649112055271602	0.21607064850931493	0
k117_22541_8_EEBR-OB	0.8969949385106896	1.2319021647189827	0.5196709678432299	0.14887050814057884	0.02742613742388284	0.7272567481047735	0.6820270607898734	0.732683639654114	1.0741910030165551	0.11471331367805263	1.0129298339319814	0.6939137848052908	0.8193491748649417	0.22404577471747775	0.6181885732492106	0.7762273562343435	0.830204461217738	0.5039412541613489	0.882081312728303	0.6449888597977814	0.6897051506750939	0.6198383734250991	0.7582951334222323	0.9434400748101722	1.387936165718658	0
